Title,Image,Summary
Google Sheets,https://zapier-images.imgix.net/storage/services/8913a06feb7556d01285c052e4ad59d0.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,"Create, edit, and share spreadsheets wherever you are with Google Sheets, and get automated insights from your data."
Gmail,https://zapier-images.imgix.net/storage/services/1afcb319c029ec5da10efb593b7159c8.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,"One of the most popular email services, Gmail keeps track of all your emails with threaded conversations, tags, and Google-powered search to find any message you need."
Filter by Zapier,https://zapier-images.imgix.net/storage/services/ad3d7962908c17bcbe753928e8786b4a.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,"Only allow a Zap to proceed when a certain condition is met. For example, if you're sending a text message when you receive a new email, you could use a Filter that only sends a text message when the email received is from a certain address."
Webhooks by Zapier,https://zapier-images.imgix.net/storage/services/6aafbb717d42f8b42f5be2e4e89e1a15.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,Webhooks simply POST data (or JSON) to a specific URL every time we see something new. Webhooks can also accept data (or JSON) to kick off a workflow in Zapier.
Slack,https://zapier-images.imgix.net/storage/services/6cf3f5a461feadfba7abc93c4c395b33_2.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,"Slack is a platform for team communication: everything in one place, instantly searchable, available wherever you go. Offering instant messaging, document sharing and knowledge search for modern teams."
Formatter by Zapier,https://zapier-images.imgix.net/storage/services/98abc2ffc5951ca33667fcd9c57726c9.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,"Data isn't always in the format you need. Perhaps a date is in International format, but your app needs it in American format. Or maybe you need to Title Case a subject, truncate text for a Tweet, or turn Markdown text into HTML for your blog. Zapier's Formatter tool can help."
Google Calendar,https://zapier-images.imgix.net/storage/services/5e4971d60629bca0548ded987b9ddc06.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,"Google Calendar lets you organize your schedule and share events with co-workers and friends. With Google's free online calendar, it's easy to keep track of your daily schedule."
Email by Zapier,https://zapier-images.imgix.net/storage/services/8e4d4d03bfde581f2550934c589fb077.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,"Send and receive email via a custom Zapier email address at ""zapiermail.com"". This is great for triggering off of emails and sending custom emails. (Max of 10 email sends per hour.)

Have direct access to your own email servers? Check out our IMAP and SMTP services!"
Schedule by Zapier,https://zapier-images.imgix.net/storage/services/ef225c9f6bbf656ffa1dffcb667f512b.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,"Schedule is a native Zapier app you can use for recurring tasks. Trigger an action every day of the month, every day of the week or every single day. You can also select the hour of the day. If you're a developer, this is similar to a crontab, cronjob or cron."
Mailchimp,https://zapier-images.imgix.net/storage/services/d4a87a6bccbd4490512fb02638086f9b.png?auto=format&ixlib=react-9.8.0&q=50&fit=crop&h=20&w=20,Share your ideas with Mailchimp email newsletters—then use its landing page and form builders to grow your lists and take marketing further with drip and transactional emails.
